Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1733191629725.676,0.746337890625,-0.62310791015625,0.166748046875,-0.1640625,-0.49,-9.790000000000001,1.7,-20.25,18.875,34.875,0.001090830782496456,0.001090830782496456,-0.00545415391248228
1733191629925.301,0.7464599609375,-0.62298583984375,0.166748046875,-0.16412353515625,-0.47000000000000003,-9.8,1.71,-18.75,20.25,35.5625,0.01090830782496456,0.001090830782496456,0.002181661564992912
1733191630054.931,0.74639892578125,-0.623046875,0.166748046875,-0.1640625,-0.38,-9.84,1.58,-20.5625,19.5625,37.0625,-0.001090830782496456,0.0,-0.001090830782496456
1733191630183.434,0.746337890625,-0.62310791015625,0.166748046875,-0.1640625,-0.4,-9.81,1.59,-19.875,20.25,35.25,-0.013089969389957472,-0.00545415391248228,0.002181661564992912
1733191630312.611,0.746337890625,-0.62310791015625,0.166748046875,-0.1640625,-0.38,-9.870000000000001,1.75,-21.75,19.5625,36.75,0.002181661564992912,0.0,0.002181661564992912
1733191630439.5781,0.7462158203125,-0.62322998046875,0.16680908203125,-0.16400146484375,-0.42,-9.8,1.67,-19.5,19.875,35.25,0.00545415391248228,0.009817477042468103,-0.002181661564992912
1733191630570.366,0.74627685546875,-0.623291015625,0.16632080078125,-0.1640625,-0.05,-9.81,1.61,-19.0625,19.5625,36.0,0.0,-0.007635815477475192,0.003272492347489368
1733191630697.7388,0.746337890625,-0.623291015625,0.1663818359375,-0.16387939453125,-0.21,-9.790000000000001,1.78,-20.25,19.875,34.875,0.004363323129985824,0.002181661564992912,-0.002181661564992912
1733191630827.1438,0.74615478515625,-0.62347412109375,0.1663818359375,-0.16387939453125,-0.39,-9.83,1.68,-19.875,18.5,36.75,0.0,0.002181661564992912,-0.004363323129985824
1733191630955.895,0.74615478515625,-0.62347412109375,0.16632080078125,-0.1639404296875,-0.28,-9.83,1.6300000000000001,-19.5,19.5625,36.375,-0.001090830782496456,-0.003272492347489368,-0.003272492347489368
1733191631082.979,0.74615478515625,-0.62353515625,0.16619873046875,-0.16400146484375,-0.36,-9.83,1.61,-20.25,20.25,35.25,0.00545415391248228,-0.002181661564992912,0.003272492347489368
1733191631213.2449,0.74603271484375,-0.62359619140625,0.16619873046875,-0.1640625,-0.37,-9.86,1.71,-20.25,19.5625,35.25,0.003272492347489368,0.0,-0.007635815477475192
1733191631343.021,0.74603271484375,-0.6236572265625,0.1661376953125,-0.16412353515625,-0.41000000000000003,-9.86,1.6,-20.5625,20.25,36.5,0.006544984694978736,0.0,0.003272492347489368
1733191631471.494,0.74603271484375,-0.6236572265625,0.16607666015625,-0.16412353515625,-0.35000000000000003,-9.86,1.6500000000000001,-19.0625,19.1875,36.375,0.00545415391248228,-0.001090830782496456,-0.001090830782496456
1733191631598.27,0.7459716796875,-0.6236572265625,0.166015625,-0.1641845703125,-0.39,-9.83,1.6400000000000001,-20.25,19.875,36.0625,0.00545415391248228,0.003272492347489368,0.002181661564992912
1733191631727.35,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.37,-9.81,1.6,-20.5625,19.1875,35.25,0.003272492347489368,-0.002181661564992912,0.001090830782496456
1733191631852.623,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.41000000000000003,-9.86,1.62,-21.0,20.6875,35.5625,-0.001090830782496456,0.0,0.0
1733191631979.92,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.4,-9.84,1.69,-19.0625,19.5625,36.5,0.002181661564992912,0.004363323129985824,0.001090830782496456
1733191632108.197,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.37,-9.790000000000001,1.69,-22.75,19.5625,36.5,0.004363323129985824,0.0,0.0
1733191632235.926,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.33,-9.82,1.6400000000000001,-20.5625,19.5625,35.5625,0.002181661564992912,-0.001090830782496456,0.0
1733191632361.619,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.39,-9.84,1.61,-21.375,19.5625,35.5625,0.0,-0.001090830782496456,0.002181661564992912
1733191632490.653,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.37,-9.85,1.61,-20.25,20.6875,35.5625,0.001090830782496456,0.0,-0.003272492347489368
1733191632617.9758,0.7459716796875,-0.6236572265625,0.16595458984375,-0.16424560546875,-0.38,-9.83,1.6500000000000001,-19.875,19.875,36.75,0.001090830782496456,0.0,0.002181661564992912
